year, anomaly
1.788461538461538566e+03, 8.429999999999999716e-01
1.788538461538461434e+03, 2.443000000000000060e+00
1.788615384615384528e+03, 2.700000000000000178e-01
1.788692307692307622e+03, -1.200000000000000025e-02
1.788769230769230717e+03, 1.829999999999999960e-01
1.788846153846153811e+03, 2.580000000000000071e-01
1.788923076923076906e+03, -4.366999999999999993e+00
1.789076923076923094e+03, 8.010000000000000453e-01
1.789153846153846189e+03, -1.084999999999999964e+00
1.789230769230769283e+03, -1.965999999999999970e+00
1.789307692307692378e+03, -9.879999999999999893e-01
1.789384615384615472e+03, 5.769999999999999574e-01
1.789461538461538566e+03, -2.699999999999999969e-02
1.789538461538461434e+03, 1.090999999999999970e+00
1.789615384615384528e+03, 2.710000000000000187e-01
1.789692307692307622e+03, 6.300000000000000044e-02
1.789769230769230717e+03, -1.999000000000000110e+00
1.789846153846153811e+03, -3.230000000000000093e-01
1.789923076923076906e+03, 1.459999999999999909e-01
1.790076923076923094e+03, 2.000000000000000111e-01
1.790153846153846189e+03, 8.200000000000000344e-02
1.790230769230769283e+03, -4.089999999999999747e-01
1.790307692307692378e+03, -2.537999999999999812e+00
1.790384615384615472e+03, -6.470000000000000195e-01
1.790461538461538566e+03, 7.359999999999999876e-01
1.790538461538461434e+03, -6.660000000000000364e-01
1.790615384615384528e+03, -1.079999999999999988e-01
1.790692307692307622e+03, -5.909999999999999698e-01
1.790769230769230717e+03, -5.450000000000000400e-01
1.790846153846153811e+03, -7.329999999999999849e-01
1.790923076923076906e+03, -1.299999999999999940e-02
1.791076923076923094e+03, 1.118000000000000105e+00
1.791153846153846189e+03, 7.159999999999999698e-01
1.791230769230769283e+03, 4.020000000000000240e-01
1.791307692307692378e+03, 1.340000000000000080e-01
1.791384615384615472e+03, -8.970000000000000195e-01
1.791461538461538566e+03, -4.000000000000000083e-02
1.791538461538461434e+03, -7.179999999999999716e-01
1.791615384615384528e+03, -7.000000000000000146e-03
